Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
,,,,,,,,
,,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate
,,(%),(%),(%),(%),(%),(%),(%)
Age group,,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
Year/Period,Sex,,,,,,,
2/1990 - 4/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.5
3/1990 - 5/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.3
4/1990 - 6/1990,Male,6.0,2.1,0.5,0.8,1.2,1.0,1.3
4/1990 - 6/1990,Female,7.6,1.5,0.9,0.4,[*7],[*7],1.3
4/1990 - 6/1990,Both sexes,6.7,1.8,0.7,0.6,1.0,0.7,1.3
5/1990 - 7/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
6/1990 - 8/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.5
7/1990 - 9/1990,Male,7.4,2.3,0.5,1.1,1.2,0.5,1.5
7/1990 - 9/1990,Female,8.5,2.1,0.9,[*7],[*7],[*7],1.6
7/1990 - 9/1990,Both sexes,7.9,2.2,0.6,0.8,1.0,0.4,1.5
8/1990 - 10/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.3
9/1990 - 11/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.3
10/1990 - 12/1990,Male,6.0,1.5,0.9,0.9,0.9,[*7],1.2
10/1990 - 12/1990,Female,4.5,1.4,0.4,[*7],[*7],[*7],1.0
10/1990 - 12/1990,Both sexes,5.3,1.5,0.7,0.7,0.8,[*7],1.1
11/1990 - 1/1991,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
12/1990 - 2/1991,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
1/1991 - 3/1991,Male,5.9,2.3,1.1,0.9,1.8,0.7,1.6
1/1991 - 3/1991,Female,5.6,1.4,1.0,1.0,[*7],[*7],1.3
